pdb_id	delta_G	Avg_Bfactor_Total	Avg_Bfactor_Interface
5vxz	-69.31	61.83	59.2
5o0w	-57.83	51.93	51.03
5tez	-23.51	24.03	20.78
6b12	-46.18	31.59	31.31
5ffo	-46.15	216.65	189.93
5xco	-45.95	18.97	19.1
5imk	-34.65	18.59	18.15
5vz4	-46.21	57.45	46.4
5jw7	-28.77	93.21	88.02
5jjd	-28.75	49.71	44.37
5vag	-45.81	45.16	37.56
5omn	-45.79	68.22	62.69
5xxy	-45.67	50.29	47.31
5nh3	-51.44	38.78	32.06
5v5g	-45.92	44.28	42.9
5ivx	-35.77	53.01	41.61
5o74	-28.54	77.44	71.43
5ezo	-51.37	70.53	60.18
5x60	-42.94	76.46	80.42
5h6q	-41.22	72.76	75.52
5ovw	-51.52	102.72	106.58
5l6n	-48.6	29.66	28.02
5uul	-47.48	22.01	21.05
5gim	-52.87	25.1	25.24
5h6r	-29.68	77.63	85.89
5otx	-40.12	28.13	22.84
5w89	-45.11	31.31	29.48
5yqz	-47.9	128.65	115.84
6dnq	-42.1	68.59	64.74
5w08	-42.23	60.37	48.23
6c48	-42.23	31.64	28.57
6dmx	-39.72	98.55	95.09
6h6y	-55.87	25.98	24.15
5otj	-55.76	32.91	27.07
5g15	-38.64	34.3	32.35
5vyf	-55.53	60.04	51.68
6ehg	-54.91	113.72	85.11
5yir	-54.61	49.62	49.09
6mkz	-55.36	85.15	78.63
6ath	-54.12	27.95	38.13
6hul	-37.23	54.45	53.21
6ddm	-53.52	19.31	17.18
6aqr	-36.34	34.63	32.64
6bli	-52.99	23.63	21.28
5wpa	-35.73	57.61	53.24
5xj4	-52.37	42.52	26.06
6b3m	-52.3	61.87	35.41
6a7v	-52.64	39.47	38.84
6g04	-35.13	0.0	0.0
6ejg	-51.89	48.01	49.4
6hpr	-34.71	26.21	23.2
6bck	-51.74	50.78	49.86
6ejm	-51.74	38.52	34.17
6bkc	-51.92	49.0	43.18
6h9n	-34.8	82.12	81.93
6ddr	-51.52	33.16	28.5
6fg8	-34.3	21.1	18.31
5y9j	-51.38	37.48	34.65
5z78	-34.51	39.35	41.67
6a67	-51.36	48.75	40.83
6cql	-33.88	53.48	44.41
5bk1	-51.13	38.89	35.39
5o90	-34.01	88.02	95.86
6co2	-33.79	41.65	32.87
5nqw	-50.54	111.08	101.75
6dcn	-33.41	57.81	60.44
6bkb	-50.36	67.48	62.13
6f9s	-33.05	71.3	62.93
5xda	-33.08	48.68	47.76
6fv0	-32.9	66.16	52.97
5nzz	-32.93	61.05	69.99
6brs	-32.93	54.66	62.14
5yi8	-32.79	30.84	30.5
6b05	-32.66	38.05	47.05
6arq	-28.49	45.83	28.11
6cqr	-28.4	82.96	71.68
5w9a	-22.76	86.3	75.47
5oen	-45.66	42.54	41.92
6bkd	-39.65	69.54	62.78
5xqz	-28.03	41.35	37.61
6ff3	-44.9	60.9	64.41
6e3j	-44.83	26.56	24.33
6bxc	-45.01	68.45	54.58
6mlk	-45.01	70.66	61.08
6cqn	-27.65	50.36	40.2
5xwt	-27.63	136.87	124.46
6asr	-27.55	38.45	40.92
5uv8	-39.11	43.83	40.13
6bx5	-44.83	86.7	79.48
6bb4	-44.59	36.8	32.19
5nt1	-27.36	82.25	63.83
5w1m	-44.45	33.47	34.03
6ii4	-44.41	128.71	121.9
6fq0	-38.79	49.87	44.84
5xmh	-21.67	52.19	46.81
6aaf	-38.77	78.19	88.18
6aod	-55.88	37.26	33.95
5uwc	-44.23	71.29	64.36
5nl1	-38.58	68.92	62.77
6flc	-38.54	36.47	31.35
6bf4	-38.52	90.87	69.12
5xj3	-44.18	69.26	57.73
6e2p	-26.99	106.3	114.28
5yc5	-38.5	55.54	58.85
5utz	-49.81	57.84	51.15
5yoy	-61.33	77.92	64.35
5nmv	-51.37	33.43	27.89
6flb	-51.37	43.49	35.06
6a3w	-49.3	30.9	25.18
5ock	-32.18	15.92	12.97
6mft	-32.18	81.01	74.11
5xln	-31.99	29.55	25.41
5u8q	-32.08	177.43	156.58
6isc	-32.08	45.91	36.39
5vu0	-49.1	47.97	45.94
5ywp	-48.72	105.0	109.41
6i3f	-43.91	43.68	39.06
6fc3	-43.94	30.88	24.09
6eyo	-61.07	93.59	65.85
6b8n	-38.11	61.51	52.7
6bx4	-38.11	74.7	70.53
5mr4	-38.0	54.26	40.43
6mhr	-43.71	78.63	70.81
6h0e	-37.78	37.66	36.27
6gbu	-37.7	150.17	161.06
6imf	-43.49	35.73	30.29
6byh	-43.39	66.77	63.11
5xiu	-26.27	20.06	22.84
5ydr	-26.13	44.11	49.15
6cmg	-43.16	47.51	40.29
5xod	-43.1	60.94	63.42
5xnp	-37.39	132.97	130.12
5xis	-20.25	47.67	46.95
6d01	-37.35	81.54	73.29
6fub	-43.02	20.98	15.77
6cwt	-66.77	120.38	112.75
6fuz	-31.37	113.2	115.72
6e3i	-48.48	31.52	27.52
6e62	-48.49	107.62	87.19
6ce9	-48.26	194.83	189.1
5oy9	-30.97	156.4	160.42
5yip	-48.13	37.6	39.85
6e63	-48.13	38.05	32.43
6gd5	-48.06	0.0	0.0
6bmt	-37.15	56.77	57.7
6fc2	-31.21	50.09	46.78
5mzv	-42.49	85.55	73.18
5nx3	-59.61	34.94	30.77
5kof	-25.26	61.77	72.11
6ii8	-36.61	71.15	65.98
5ywr	-42.29	23.03	17.0
6fp7	-48.65	33.83	28.63
6blh	-47.87	29.4	23.62
5yis	-47.81	44.66	42.68
6bw9	-47.7	17.77	12.73
6h6z	-47.6	48.38	45.98
6fu9	-47.53	22.44	18.21
6avg	-25.07	39.52	30.35
6f3z	-36.49	47.16	44.08
6bxa	-42.23	64.45	68.26
6gbg	-36.41	71.9	66.43
6c16	-36.39	91.84	90.83
6h71	-42.02	57.76	55.46
5w42	-41.97	136.08	131.51
6fgo	-36.28	65.16	57.63
5vzm	-24.61	0.0	0.0
6fhp	-41.77	23.6	23.58
6h06	-29.98	55.77	54.29
6ddv	-47.02	38.1	34.73
5xwd	-46.97	92.84	82.17
6g10	-46.97	22.89	20.94
6dsl	-53.09	0.0	0.0
5nx1	-47.24	41.8	36.63
6a0z	-41.53	49.1	34.45
5zxv	-41.32	308.02	329.89
6aw2	-41.35	63.74	55.68
6ewb	-41.26	59.1	55.74
6fgb	-58.38	50.41	41.91
5n48	-47.38	22.79	21.41
5ywo	-46.72	97.24	94.97
6cqq	-29.46	54.09	45.99
6mgp	-35.2	69.93	63.48
6gbh	-40.87	94.22	88.62
6mi2	-40.87	86.24	72.38
5oyl	-29.25	53.32	38.39
5yr0	-29.22	22.97	19.92
6and	-46.28	22.1	20.28
6ani	-46.28	40.25	37.05
6fud	-40.73	21.83	16.28
6eg1	-23.49	55.51	44.31
6eg0	-23.46	69.32	63.02
5n47	-46.55	99.36	78.6
6cbp	-29.42	38.04	28.7
5mr5	-40.51	32.35	24.84
5n7w	-40.51	53.14	40.81
6a3v	-40.34	59.21	54.26
5wi9	-57.45	48.13	48.49
5vmo	-34.54	29.3	27.09
5xoc	-29.09	71.52	57.28
6d13	-45.84	98.67	86.91
6fe4	-45.76	119.71	114.7
6bva	-40.19	69.54	66.4
6ana	-45.92	19.33	17.56
6ch3	-28.54	78.73	62.96
6ch2	-25.9	99.79	93.73
6eyd	-40.22	94.24	79.61
5mrv	-30.94	27.11	27.07
6gfi	-53.12	82.0	70.78
5zvm	-39.83	112.85	98.43
6oao	-51.88	87.5	81.44
6d68	-39.4	67.27	60.09
6oan	-49.16	79.83	61.32
6d4p	-42.74	57.04	50.26
6dgf	-47.51	30.29	27.73
6sak	-42.86	57.69	58.84
6f0g	-41.44	38.41	38.07
6cwg	-57.03	79.86	74.87
6nmv	-56.56	67.66	58.55
6jb8	-56.45	28.86	23.89
6nmt	-55.88	39.05	34.99
6j4s	-38.79	42.84	44.71
6nr8	-38.79	415.76	405.52
6q69	-38.64	71.84	69.28
6nmr	-55.58	47.99	44.29
6f0f	-38.5	39.7	36.17
6mvl	-38.5	31.97	27.76
6ird	-38.11	28.72	28.43
6dld	-54.91	123.34	96.77
6p7s	-54.91	49.34	49.85
6n85	-37.78	58.45	48.37
6o1f	-54.81	45.62	39.5
5zqv	-37.59	118.3	151.86
6jcs	-37.34	39.67	30.24
6ndz	-55.36	73.5	61.95
6jbt	-54.16	37.81	31.22
6u2h	-54.12	95.81	87.48
6qmq	-36.71	68.61	60.79
6j6y	-54.35	69.55	63.53
6j7w	-54.35	58.84	51.8
6nmu	-53.48	40.94	32.44
6n5w	-36.28	60.04	51.17
6nms	-53.3	56.03	50.76
6q0o	-36.52	78.94	66.18
6p7y	-52.81	63.67	66.16
6kbm	-35.51	49.58	36.66
6qj4	-35.39	210.42	212.5
5z2w	-35.24	84.61	63.65
6j56	-35.24	30.99	26.68
6q18	-35.51	47.64	42.92
6r2g	-69.18	51.02	42.38
6qmp	-35.13	66.24	60.33
6k0y	-51.65	17.63	14.01
6gho	-34.8	46.76	43.36
6fg1	-51.63	39.26	35.34
6gku	-51.63	38.16	32.28
6iu7	-51.63	36.4	29.95
6mud	-34.2	74.12	66.29
6jep	-51.22	36.58	31.57
6qms	-34.06	50.76	46.1
6c83	-34.25	73.5	73.59
6qb6	-33.92	47.4	37.05
6plk	-51.02	44.92	39.84
6nha	-50.94	60.49	51.19
5xkj	-34.01	55.54	56.3
5zo2	-34.01	65.37	66.49
6og4	-50.74	32.0	26.25
6mnr	-50.92	45.74	38.42
5z7l	-33.79	32.99	31.04
6gum	-33.79	37.42	32.95
6in9	-33.79	30.77	28.36
6e4z	-50.72	63.86	55.22
6ne2	-50.72	23.17	20.13
5xjo	-33.6	41.75	39.43
6kbn	-33.31	101.19	95.02
6msl	-50.54	61.53	47.06
6ne1	-50.54	74.89	66.03
6j14	-50.3	19.43	12.36
6ne4	-50.2	28.48	24.81
6uys	-33.08	29.72	28.11
6o39	-50.05	36.7	29.83
6ob1	-32.93	37.42	37.74
6moe	-49.79	68.17	57.35
6o3o	-32.79	62.3	52.39
6q0h	-32.79	99.61	83.46
6cxg	-49.78	32.26	27.57
6m7l	-28.44	73.21	74.39
6ire	-45.52	119.17	115.37
6mnq	-45.45	26.52	22.87
6fpg	-39.91	40.38	38.46
6h47	-45.66	30.94	26.01
6i07	-45.66	94.8	66.12
6on9	-28.54	51.15	47.44
6cug	-28.26	32.46	28.88
6fg2	-62.55	56.75	53.98
6ivu	-62.55	0.0	0.0
6o8b	-28.3	137.65	128.0
6oor	-45.11	59.69	51.64
6h15	-45.05	47.55	43.34
6iwa	-39.38	58.57	59.58
6m9k	-28.09	32.01	28.5
6oro	-28.09	75.8	69.09
6iw0	-44.92	43.99	39.25
6mss	-27.6	40.72	36.05
6dc9	-44.62	59.49	56.31
6isu	-38.79	38.93	34.83
6mba	-44.35	56.5	36.4
6o07	-44.35	56.36	49.13
6iwd	-44.18	27.34	24.53
6ieb	-44.14	43.55	40.2
6j4o	-44.2	36.0	34.23
6jhw	-44.2	46.3	42.7
6phb	-44.04	34.34	29.05
6tzc	-32.55	48.24	40.75
6p50	-51.37	70.55	66.74
6mun	-34.25	0.0	0.0
5z7g	-32.47	62.67	55.45
6iua	-49.65	31.26	26.17
6gvk	-32.53	44.85	39.72
6uyu	-32.53	28.09	25.13
6qb3	-32.1	36.69	24.52
6cxl	-49.2	89.61	86.05
6hhc	-49.2	39.94	25.94
6phd	-49.1	59.29	50.24
6fto	-49.0	37.05	36.21
6umt	-49.0	50.53	44.75
6h2y	-48.91	43.63	35.11
6k7o	-48.73	62.48	56.55
6d7g	-31.61	66.46	63.72
6jdj	-38.24	42.41	40.34
6r2s	-61.07	115.38	105.71
6dfs	-26.65	69.76	62.42
6dc8	-43.76	24.33	21.59
6j9l	-32.39	27.15	26.21
6nfj	-38.1	80.91	83.75
6nuc	-43.82	37.21	40.17
6nuf	-43.82	28.39	31.09
6k06	-37.92	36.46	32.3
6ous	-60.83	80.86	77.32
6a78	-37.79	27.0	22.42
6nrw	-26.47	53.66	47.01
6ilm	-37.76	49.08	37.61
6a6x	-43.31	43.2	45.45
6cxf	-37.66	43.39	38.52
6gjq	-43.39	50.61	49.19
6im9	-43.39	70.27	69.97
6j11	-43.39	64.44	54.97
6gwc	-37.49	70.63	63.23
6pxh	-43.11	42.77	35.89
6oqq	-43.11	50.49	62.66
6iea	-37.27	36.72	28.72
6jb2	-37.27	16.12	15.05
6pnp	-37.24	85.62	58.14
6oc3	-49.65	73.57	63.01
6osw	-32.53	0.0	0.0
6nzu	-31.27	36.72	30.11
6idx	-31.24	26.9	23.83
6jjp	-48.23	55.17	49.42
6ov2	-48.21	145.74	124.65
6e4y	-30.94	71.29	63.17
6n6r	-30.94	37.74	28.61
6f2g	-48.0	119.12	98.36
6obn	-42.91	61.8	57.91
6mc9	-37.19	145.6	124.29
6h46	-42.94	35.44	32.17
6orq	-42.94	142.61	135.87
6h16	-42.79	114.38	94.39
5ymy	-42.69	0.0	0.0
6iw8	-36.98	81.81	78.45
6fbx	-36.9	44.41	47.49
6dc3	-42.63	131.24	122.57
6oy4	-42.56	44.62	30.31
6a6i	-25.36	44.29	41.74
6gtq	-36.73	65.05	67.31
6h3u	-42.49	111.47	99.74
6ilk	-36.68	34.19	34.75
6j5f	-36.58	23.36	16.01
6f0h	-48.65	25.1	21.3
6o3b	-47.64	41.87	35.01
6phc	-47.59	67.86	60.18
6r8x	-64.66	26.86	22.23
6otc	-47.43	21.11	14.98
6her	-42.23	20.32	17.71
6s8s	-36.46	38.97	41.07
6j9h	-42.1	55.74	48.86
6oqk	-42.1	10.0	10.0
6gvl	-24.87	64.17	58.49
6j5d	-41.91	23.1	14.99
6pnq	-41.72	40.23	24.34
6rhw	-47.93	67.18	60.63
6thg	-47.93	152.11	140.7
6o3a	-47.28	39.32	32.66
6km7	-30.16	30.79	34.54
6i2m	-47.23	73.24	79.52
6h3t	-47.19	87.19	76.96
6u8c	-41.67	50.08	45.84
6er6	-41.62	30.38	22.3
6um5	-35.81	32.21	48.84
6uvo	-52.72	63.3	59.18
6ihb	-41.35	33.55	23.61
6s53	-30.26	79.05	68.35
6jo8	-29.8	202.1	184.96
6k4k	-46.73	68.14	72.16
6akm	-29.46	67.13	50.98
5zau	-41.22	10.0	10.0
6dkj	-58.3	25.52	21.83
6rhv	-41.1	60.29	63.58
6o60	-40.87	55.37	58.31
6s29	-46.29	31.18	31.24
6ppg	-63.41	57.62	51.2
6mm6	-23.59	42.22	45.2
6ere	-40.73	31.01	28.14
6iec	-34.98	73.33	64.64
6a79	-46.15	29.13	24.18
6jjw	-46.15	46.04	37.95
6p67	-46.01	90.18	71.95
6kbr	-63.07	10.67	8.98
6j9m	-40.48	54.36	48.86
6nk7	-40.39	359.75	388.16
6dca	-40.37	36.49	33.39
6jwj	-40.34	33.48	33.44
6oel	-34.56	76.64	68.42
6plm	-40.23	64.52	76.86
6czo	-40.24	65.76	78.66
6msu	-45.87	59.05	43.51
6pdx	-62.85	140.37	141.14
6ivz	-45.74	41.42	30.73
6ib8	-40.11	30.88	37.0
6oqj	-45.92	15.0	15.0
6uda	-45.92	33.66	40.22
6saz	-56.24	81.54	75.08
6ht9	-57.08	100.91	92.79
6dwh	-55.36	32.52	23.61
6bx8	-38.24	29.46	23.63
6dwf	-50.72	25.9	16.39
6n9d	-61.36	55.25	52.01
6mav	-59.79	77.56	69.46
6har	-58.3	18.96	15.12
